[2026-05-12 01:53:04.370] [ChronoKeeper] [info] [ChronoKeeper] Running ChronoKeeper Server.
[2026-05-12 01:53:04.370] [ChronoKeeper] [info] [ChronoKeeper] Configuration [CHRONO_GRAPHER_CONFIGURATION: RECORDING_GROUP: 1, KEEPER_GRAPHER_DRAIN_SERVICE_CONF: [PROTO_CONF: ofi+sockets, IP: 172.25.101.4, BASE_PORT: 3333, SERVICE_PROVIDER_ID: 33, PORTS: ], DATA_STORE_ADMIN_SERVICE_CONF: [PROTO_CONF: ofi+sockets, IP: 172.25.101.3, BASE_PORT: 7777, SERVICE_PROVIDER_ID: 77, PORTS: ], VISOR_REGISTRY_SERVICE_CONF: [PROTO_CONF: ofi+sockets, IP: 172.25.101.3, BASE_PORT: 8888, SERVICE_PROVIDER_ID: 88, PORTS: ], LOG_CONF: [TYPE: file, FILE: /mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-015243/chronolog/logs/chrono-keeper-ares-comp-03.log, LEVEL: DEBUG, NAME: ChronoKeeper, LOGFILESIZE: 1048576, LOGFILENUM: 3, FLUSH LEVEL: WARN], DATA_STORE_CONF: [DATA_STORE_CONF: max_story_chunk_size: 4096 story_chunk_duration_secs: 10 acceptance_window_secs: 15 inactive_story_delay_secs: 120], EXTRACTOR_CONF: [EXTRACTOR_READER_CONF: STORY_FILES_DIR: /mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-015243/chronolog/output]]
[2026-05-12 01:53:54.657] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:53:55.646] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:53:55.647] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:53:55.657] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:53:56.647] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:53:56.647] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:53:56.657] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:53:57.647] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:53:57.647] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:53:57.657] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:53:58.647] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:53:58.647] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:53:58.657] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:53:59.647] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:53:59.647] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:53:59.657] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:54:00.647] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:54:00.647] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:54:00.657] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:54:01.647] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:54:01.647] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:54:01.657] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:54:02.647] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:54:02.647] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:54:02.657] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:54:03.647] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:54:03.647] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:54:03.657] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:54:04.647] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:54:04.647] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:54:04.658] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:54:05.647] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:54:05.647] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:54:05.658] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:54:06.647] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:54:06.648] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:54:06.658] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:54:07.647] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
